Time,kW,Building,Temperature,Hour,Month,Is_Weekend
2025-01-01 00:00:00,27.94,共同教學館,16.0,0,1,0
2025-01-01 01:00:00,26.92,共同教學館,16.0,1,1,0
2025-01-01 02:00:00,29.12,共同教學館,16.1,2,1,0
2025-01-01 03:00:00,28.23,共同教學館,16.3,3,1,0
2025-01-01 04:00:00,27.91,共同教學館,16.2,4,1,0
2025-01-01 05:00:00,28.42,共同教學館,16.5,5,1,0
2025-01-01 06:00:00,30.56,共同教學館,16.6,6,1,0
2025-01-01 07:00:00,31.62,共同教學館,16.6,7,1,0
2025-01-01 08:00:00,29.25,共同教學館,17.0,8,1,0
2025-01-01 09:00:00,27.98,共同教學館,17.4,9,1,0
2025-01-01 10:00:00,29.48,共同教學館,17.6,10,1,0
2025-01-01 11:00:00,25.73,共同教學館,17.1,11,1,0
2025-01-01 12:00:00,26.99,共同教學館,16.2,12,1,0
2025-01-01 13:00:00,27.99,共同教學館,16.7,13,1,0
2025-01-01 14:00:00,29.97,共同教學館,16.9,14,1,0
2025-01-01 15:00:00,30.8,共同教學館,16.3,15,1,0
2025-01-01 16:00:00,28.24,共同教學館,16.2,16,1,0
2025-01-01 17:00:00,27.19,共同教學館,15.9,17,1,0
2025-01-01 18:00:00,27.47,共同教學館,16.2,18,1,0
2025-01-01 19:00:00,29.75,共同教學館,16.2,19,1,0
2025-01-01 20:00:00,30.08,共同教學館,16.4,20,1,0
2025-01-01 21:00:00,27.02,共同教學館,16.3,21,1,0
2025-01-01 22:00:00,30.97,共同教學館,16.4,22,1,0
2025-01-01 23:00:00,32.19,共同教學館,16.6,23,1,0
2025-01-02 00:00:00,27.47,共同教學館,16.6,0,1,0
2025-01-02 01:00:00,27.82,共同教學館,16.7,1,1,0
2025-01-02 02:00:00,27.67,共同教學館,16.7,2,1,0
2025-01-02 03:00:00,28.27,共同教學館,16.6,3,1,0
2025-01-02 04:00:00,27.96,共同教學館,16.5,4,1,0
2025-01-02 05:00:00,32.25,共同教學館,16.0,5,1,0
