Building,Method,Hour,Temperature,Baseline_kW,DR_Load_kW,Saved_kW
社科院大樓,RandomForest,13,36.0,728.825,690.795,38.03
社科院大樓,RandomForest,14,36.5,754.714,708.674,46.041
社科院大樓,RandomForest,15,37.0,734.91,709.951,24.959
社科院大樓,RandomForest,16,36.5,734.883,703.925,30.958
管院一號館,RandomForest,13,36.0,184.265,185.024,0.0
管院一號館,RandomForest,14,36.5,193.124,194.098,0.0
管院一號館,RandomForest,15,37.0,193.998,195.58,0.0
管院一號館,RandomForest,16,36.5,171.901,168.48,3.421
霖澤館,RandomForest,13,36.0,94.557,87.043,7.514
霖澤館,RandomForest,14,36.5,93.169,89.642,3.527
霖澤館,RandomForest,15,37.0,92.67,93.493,0.0
霖澤館,RandomForest,16,36.5,93.565,94.575,0.0
新體育館,RandomForest,13,36.0,577.918,573.936,3.982
新體育館,RandomForest,14,36.5,589.498,581.819,7.68
新體育館,RandomForest,15,37.0,586.66,580.423,6.237
新體育館,RandomForest,16,36.5,583.52,578.253,5.267
總圖書館,RandomForest,13,36.0,838.136,836.804,1.332
總圖書館,RandomForest,14,36.5,848.004,843.145,4.859
總圖書館,RandomForest,15,37.0,854.246,840.754,13.492
總圖書館,RandomForest,16,36.5,853.01,842.004,11.006
共同教學館,RandomForest,13,36.0,106.831,106.71,0.121
共同教學館,RandomForest,14,36.5,107.813,108.671,0.0
共同教學館,RandomForest,15,37.0,108.292,109.374,0.0
共同教學館,RandomForest,16,36.5,98.562,98.988,0.0
新生大樓,RandomForest,13,36.0,76.369,59.873,16.497
新生大樓,RandomForest,14,36.5,59.862,63.461,0.0
新生大樓,RandomForest,15,37.0,64.652,71.295,0.0
新生大樓,RandomForest,16,36.5,63.368,69.298,0.0
