Building,Cluster,Cluster_Label,Cluster_Name,DR_Status,Base_Load_Ratio,Relative_Cooling_Sensitivity,Weekday_Weekend_Delta,Temp_Corr,Mean_kW
共同教學館,2,群 C：排程驅動群,C,⚠️ 列入模擬，效益預期低,0.2237,1.3167,0.0859,0.3063,50.68
凝態科學館,1,群 B：設備基載群,B,❌ 非 DR 目標,0.5757,1.7733,0.0612,0.7387,734.88
文學院,1,群 B：設備基載群,B,❌ 非 DR 目標,0.3244,1.9324,0.0892,0.3859,31.73
新生大樓,2,群 C：排程驅動群,C,⚠️ 列入模擬，效益預期低,0.1268,0.6061,0.1376,0.2059,24.63
新體育館,0,群 A：高彈性降載群,A,✅ DR 目標,0.0935,3.3532,0.0076,0.4384,315.3
生命科學館,1,群 B：設備基載群,B,❌ 非 DR 目標,0.3952,2.5775,0.0874,0.5967,630.97
社科院大樓,0,群 A：高彈性降載群,A,✅ DR 目標,0.1874,3.3878,0.098,0.5095,343.2
管院一號館,0,群 A：高彈性降載群,A,✅ DR 目標,0.1852,2.6753,0.0949,0.4667,81.73
管院二號館,1,群 B：設備基載群,B,❌ 非 DR 目標,0.3467,1.9432,0.0982,0.423,46.41
總圖書館,0,群 A：高彈性降載群,A,✅ DR 目標,0.1409,2.4493,0.1301,0.4883,620.8
霖澤館,0,群 A：高彈性降載群,A,✅ DR 目標,0.2047,2.4066,0.0677,0.3824,40.0
