﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025020101,   1013.6,   1017.2,     17.5,     16.9,       96,      1.1,    210.0,      2.5,    220.0,      1.5,      0.8,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020102,   1012.9,   1016.5,     17.3,     16.8,       97,      1.3,    180.0,      2.6,    180.0,      2.0,      0.8,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020103,   1012.6,   1016.2,     17.1,     16.6,       97,      1.5,    190.0,      3.6,    190.0,      1.0,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020104,   1011.8,   1015.4,     17.0,     16.4,       96,      1.2,    150.0,      4.5,    170.0,      0.5,      0.6,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020105,   1011.4,   1015.0,     17.1,     16.6,       97,      0.8,    130.0,      3.0,    100.0,      0.5,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020106,   1011.4,   1015.0,     17.1,     16.8,       98,      1.1,    140.0,      1.6,    130.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020107,   1011.1,   1014.7,     17.2,     16.9,       98,      0.3,    170.0,      1.8,    110.0,      0.0,      0.0,      0.0,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020108,   1011.3,   1014.9,     17.6,     17.1,       97,      0.5,    160.0,      1.7,    200.0,      0.0,      0.0,      0.5,     0.43,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020109,   1011.6,   1015.2,     19.2,     17.3,       89,      0.8,    120.0,      1.7,    120.0,      0.0,      0.0,      0.5,     0.77,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020110,   1011.6,   1015.2,     21.0,     18.8,       87,      0.3,    180.0,      1.9,    160.0,      0.0,      0.0,      0.3,     1.33,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020111,   1010.7,   1014.2,     22.5,     18.7,       79,      0.5,     40.0,      1.9,     10.0,      0.0,      0.0,      0.1,     1.50,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020112,   1009.3,   1012.8,     24.6,     18.3,       68,      1.1,    330.0,      3.4,    330.0,      0.0,      0.0,      0.7,     2.42,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020113,   1008.5,   1012.0,     23.5,     18.2,       72,      2.5,    340.0,      5.4,    330.0,      0.0,      0.0,      0.2,     1.50,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020114,   1008.4,   1011.9,     21.7,     17.1,       75,      4.1,    340.0,      7.6,    330.0,      0.0,      0.0,      0.0,     1.27,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020115,   1008.1,   1011.6,     22.3,     17.5,       74,      2.7,    320.0,      6.1,    360.0,      0.0,      0.0,      0.3,     1.43,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020116,   1008.5,   1012.0,     21.7,     17.3,       76,      2.7,    110.0,      6.2,    110.0,      0.0,      0.0,      0.2,     0.77,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020117,   1008.6,   1012.2,     21.3,     16.9,       76,      1.7,     60.0,      7.2,    100.0,      0.0,      0.0,      0.0,     0.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020118,   1009.0,   1012.6,     20.3,     17.3,       83,      3.0,    100.0,      8.3,     80.0,     -9.8,      0.1,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020119,   1009.7,   1013.3,     18.9,     16.5,       86,      3.8,    100.0,      9.5,    100.0,     -9.8,      0.1,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020120,   1011.6,   1015.2,     17.5,     16.0,       91,      1.6,    110.0,      8.5,    100.0,      2.0,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020121,   1011.4,   1015.0,     17.2,     15.4,       89,      3.4,    100.0,     10.0,     80.0,      0.5,      0.4,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020122,   1012.3,   1015.9,     16.9,     14.9,       88,      2.4,    100.0,     10.0,     80.0,     -9.8,      0.2,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020123,   1012.2,   1015.8,     16.5,     15.4,       93,      1.5,    130.0,      5.5,     90.0,      1.0,      0.8,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020124,   1012.3,   1015.9,     16.4,     14.8,       90,      1.4,    120.0,      5.6,    120.0,      0.5,      0.5,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020201,   1012.1,   1015.7,     16.2,     14.6,       90,      2.0,    110.0,      5.2,     80.0,      0.5,      0.3,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020202,   1011.9,   1015.5,     16.4,     14.8,       90,      2.2,    100.0,      5.2,    110.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020203,   1011.7,   1015.3,     16.2,     15.1,       93,      1.6,    160.0,      4.2,    120.0,      0.5,      0.6,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020204,   1011.4,   1015.0,     16.1,     15.3,       95,      1.2,    140.0,      3.5,    140.0,      1.0,      0.9,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020205,   1011.4,   1015.0,     16.2,     15.2,       94,      1.1,    120.0,      2.9,     90.0,      0.5,      0.2,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020206,   1011.9,   1015.5,     16.4,     15.1,       92,      1.1,     90.0,      4.0,     70.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020207,   1012.6,   1016.2,     16.4,     15.1,       92,      0.7,     80.0,      3.9,    100.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020208,   1012.9,   1016.5,     16.6,     15.0,       90,      1.3,    180.0,      3.1,    140.0,      0.0,      0.0,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020209,   1013.2,   1016.8,     16.5,     14.5,       88,      0.8,    320.0,      2.7,    300.0,      0.0,      0.0,      0.0,     0.19,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020210,   1013.1,   1016.7,     16.7,     14.7,       88,      0.9,    310.0,      2.7,    330.0,      0.0,      0.0,      0.0,     0.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020211,   1012.7,   1016.3,     16.5,     15.0,       91,      0.7,    220.0,      2.4,    260.0,     -9.8,      0.2,      0.0,     0.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020212,   1011.5,   1015.1,     16.9,     14.9,       88,      0.8,    220.0,      2.4,    250.0,      0.0,      0.0,      0.0,     0.43,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020213,   1010.6,   1014.2,     17.6,     14.7,       83,      2.5,    100.0,      6.9,    100.0,     -9.8,      0.1,      0.0,     0.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020214,   1010.1,   1013.7,     17.8,     14.7,       82,      2.0,     80.0,      5.7,     80.0,     -9.8,      0.2,      0.0,     0.56,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020215,   1009.9,   1013.5,     17.9,     14.4,       80,      2.3,    110.0,      6.0,    100.0,      0.0,      0.0,      0.0,     0.49,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020216,   1010.4,   1014.0,     17.8,     14.5,       81,      2.3,    110.0,      5.6,    100.0,      0.0,      0.0,      0.0,     0.25,     None,     None,     None,     None,     None,     None,     None,     None
